                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.801,                0.47868,                0.87834,                 2.1116,              0.0033332,              0.0033332,              0.0033332
                      2,                 1.4443,                0.52499,                0.89993,                 2.0647,              0.0065015,              0.0065015,              0.0065015
                      3,                 1.4393,                0.53421,                0.90464,                 2.0615,              0.0095048,              0.0095048,              0.0095048
                      4,                 1.4698,                0.54123,                0.90359,                 2.0558,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.4039,                0.55234,                0.90852,                 2.0431,                0.00901,                0.00901,                0.00901
                      6,                 1.3525,                0.55926,                0.91166,                 2.0322,              0.0087625,              0.0087625,              0.0087625
                      7,                   1.31,                0.56534,                0.91701,                 2.0249,               0.008515,               0.008515,               0.008515
                      8,                 1.2755,                0.57005,                0.91837,                 2.0196,              0.0082675,              0.0082675,              0.0082675
                      9,                 1.2426,                0.57267,                0.91826,                 2.0155,                0.00802,                0.00802,                0.00802
                     10,                 1.2087,                0.57634,                0.92057,                 2.0117,              0.0077725,              0.0077725,              0.0077725
                     11,                 1.1822,                0.58147,                0.92288,                 2.0081,               0.007525,               0.007525,               0.007525
                     12,                 1.1608,                0.58493,                0.92403,                 2.0054,              0.0072775,              0.0072775,              0.0072775
                     13,                 1.1342,                0.58598,                0.92487,                 2.0025,                0.00703,                0.00703,                0.00703
                     14,                 1.1143,                0.58797,                0.92654,                 1.9996,              0.0067825,              0.0067825,              0.0067825
                     15,                 1.0856,                0.59101,                0.92654,                 1.9963,               0.006535,               0.006535,               0.006535
                     16,                 1.0692,                0.59499,                0.92791,                 1.9934,              0.0062875,              0.0062875,              0.0062875
                     17,                 1.0432,                0.59646,                0.92853,                 1.9903,                0.00604,                0.00604,                0.00604
                     18,                 1.0258,                0.60013,                0.92969,                 1.9868,              0.0057925,              0.0057925,              0.0057925
                     19,                 1.0033,                0.60557,                0.93147,                  1.983,               0.005545,               0.005545,               0.005545
                     20,                0.97976,                0.60872,                0.93262,                 1.9797,              0.0052975,              0.0052975,              0.0052975
                     21,                0.96135,                0.61249,                0.93367,                 1.9766,                0.00505,                0.00505,                0.00505
                     22,                0.94239,                0.61574,                 0.9343,                 1.9735,              0.0048025,              0.0048025,              0.0048025
                     23,                0.91367,                0.61941,                0.93555,                 1.9708,               0.004555,               0.004555,               0.004555
                     24,                0.89786,                0.62203,                0.93629,                 1.9679,              0.0043075,              0.0043075,              0.0043075
                     25,                0.87488,                0.62517,                0.93681,                 1.9652,                0.00406,                0.00406,                0.00406
                     26,                0.85496,                0.62926,                0.93692,                 1.9628,              0.0038125,              0.0038125,              0.0038125
                     27,                0.83492,                0.63188,                0.93744,                 1.9602,               0.003565,               0.003565,               0.003565
                     28,                0.80828,                0.63439,                 0.9388,                 1.9577,              0.0033175,              0.0033175,              0.0033175
                     29,                0.78368,                0.63607,                0.93912,                 1.9554,                0.00307,                0.00307,                0.00307
                     30,                0.76004,                  0.639,                0.93943,                 1.9528,              0.0028225,              0.0028225,              0.0028225
                     31,                0.73877,                0.64036,                0.93985,                 1.9505,               0.002575,               0.002575,               0.002575
                     32,                0.71706,                0.64152,                0.94153,                  1.948,              0.0023275,              0.0023275,              0.0023275
                     33,                0.68484,                0.64319,                0.94111,                 1.9457,                0.00208,                0.00208,                0.00208
                     34,                0.66179,                0.64477,                0.94153,                 1.9432,              0.0018325,              0.0018325,              0.0018325
                     35,                0.63386,                0.64739,                0.94226,                 1.9407,               0.001585,               0.001585,               0.001585
                     36,                0.60735,                0.64791,                0.94258,                 1.9383,              0.0013375,              0.0013375,              0.0013375
                     37,                0.58848,                0.65042,                0.94299,                 1.9358,                0.00109,                0.00109,                0.00109
                     38,                0.56395,                0.65179,                0.94341,                 1.9335,              0.0008425,              0.0008425,              0.0008425
                     39,                  0.533,                0.65409,                0.94341,                 1.9306,               0.000595,               0.000595,               0.000595
                     40,                0.51245,                 0.6564,                0.94467,                 1.9277,              0.0003475,              0.0003475,              0.0003475
