                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9964,                0.45706,                0.82557,                 2.5287,              0.0033333,              0.0033333,              0.0033333
                      2,                  1.507,                0.51213,                 0.8592,                 2.4824,              0.0065199,              0.0065199,              0.0065199
                      3,                 1.4724,                0.52874,                0.86992,                 2.4702,              0.0095599,              0.0095599,              0.0095599
                      4,                 1.4752,                0.53212,                0.87556,                  2.476,                0.00934,                0.00934,                0.00934
                      5,                  1.384,                0.53699,                0.87879,                 2.4813,                0.00912,                0.00912,                0.00912
                      6,                 1.3086,                0.54751,                0.88233,                 2.4775,                 0.0089,                 0.0089,                 0.0089
                      7,                 1.2566,                0.56171,                0.88699,                 2.4638,                0.00868,                0.00868,                0.00868
                      8,                 1.2155,                0.57745,                 0.8933,                 2.4449,                0.00846,                0.00846,                0.00846
                      9,                  1.179,                0.59196,                0.89925,                 2.4249,                0.00824,                0.00824,                0.00824
                     10,                 1.1491,                0.60504,                0.90448,                  2.405,                0.00802,                0.00802,                0.00802
                     11,                 1.1238,                0.61775,                0.90863,                 2.3867,                 0.0078,                 0.0078,                 0.0078
                     12,                  1.099,                0.62872,                0.91242,                 2.3709,                0.00758,                0.00758,                0.00758
                     13,                 1.0768,                0.63831,                0.91586,                 2.3563,                0.00736,                0.00736,                0.00736
                     14,                 1.0584,                0.64667,                0.91858,                 2.3439,                0.00714,                0.00714,                0.00714
                     15,                 1.0406,                0.65344,                0.92058,                 2.3333,                0.00692,                0.00692,                0.00692
                     16,                 1.0159,                0.66185,                0.92222,                 2.3245,                 0.0067,                 0.0067,                 0.0067
                     17,                0.99618,                  0.666,                0.92411,                 2.3167,                0.00648,                0.00648,                0.00648
                     18,                0.98355,                0.67005,                0.92478,                 2.3105,                0.00626,                0.00626,                0.00626
                     19,                0.96826,                0.67272,                0.92668,                 2.3048,                0.00604,                0.00604,                0.00604
                     20,                0.94767,                0.67759,                0.92714,                 2.2992,                0.00582,                0.00582,                0.00582
                     21,                 0.9332,                0.68015,                0.92775,                 2.2943,                 0.0056,                 0.0056,                 0.0056
                     22,                0.91754,                0.68318,                0.92801,                 2.2897,                0.00538,                0.00538,                0.00538
                     23,                0.90048,                0.68666,                0.92837,                 2.2851,                0.00516,                0.00516,                0.00516
                     24,                0.88218,                0.68897,                0.92945,                 2.2808,                0.00494,                0.00494,                0.00494
                     25,                0.86286,                 0.6923,                0.93047,                 2.2767,                0.00472,                0.00472,                0.00472
                     26,                0.84995,                0.69625,                0.93042,                 2.2731,                 0.0045,                 0.0045,                 0.0045
                     27,                0.82965,                 0.6983,                0.93145,                 2.2696,                0.00428,                0.00428,                0.00428
                     28,                0.81661,                0.69917,                0.93114,                 2.2663,                0.00406,                0.00406,                0.00406
                     29,                0.79666,                0.70025,                0.93155,                 2.2632,                0.00384,                0.00384,                0.00384
                     30,                0.77793,                 0.7043,                0.93288,                 2.2601,                0.00362,                0.00362,                0.00362
                     31,                0.75891,                0.70712,                0.93324,                 2.2565,                 0.0034,                 0.0034,                 0.0034
                     32,                0.73557,                0.70846,                0.93457,                 2.2539,                0.00318,                0.00318,                0.00318
                     33,                0.71794,                0.71051,                0.93488,                 2.2516,                0.00296,                0.00296,                0.00296
                     34,                0.70113,                0.71281,                0.93457,                 2.2486,                0.00274,                0.00274,                0.00274
                     35,                0.67569,                 0.7142,                0.93478,                  2.246,                0.00252,                0.00252,                0.00252
                     36,                0.65676,                0.71527,                0.93534,                 2.2438,                 0.0023,                 0.0023,                 0.0023
                     37,                0.62957,                0.71717,                0.93673,                 2.2413,                0.00208,                0.00208,                0.00208
                     38,                0.60686,                0.71845,                0.93673,                 2.2392,                0.00186,                0.00186,                0.00186
                     39,                 0.5827,                0.71994,                0.93688,                 2.2363,                0.00164,                0.00164,                0.00164
                     40,                0.55641,                0.72143,                 0.9376,                 2.2342,                0.00142,                0.00142,                0.00142
                     41,                0.53186,                0.72281,                0.93811,                 2.2319,                 0.0012,                 0.0012,                 0.0012
                     42,                 0.5047,                0.72476,                0.93806,                 2.2297,                0.00098,                0.00098,                0.00098
                     43,                0.47814,                0.72691,                 0.9377,                 2.2276,                0.00076,                0.00076,                0.00076
                     44,                0.44886,                0.72773,                0.93847,                 2.2254,                0.00054,                0.00054,                0.00054
                     45,                0.42538,                0.72912,                0.93832,                 2.2235,                0.00032,                0.00032,                0.00032
