                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.14,                0.64183,                      1,                   1.13,              0.0033332,              0.0033332,              0.0033332
                      2,                0.93044,                0.69961,                      1,                 1.0688,              0.0064025,              0.0064025,              0.0064025
                      3,                0.87316,                 0.7148,                      1,                 1.0564,              0.0092078,              0.0092078,              0.0092078
                      4,                0.85949,                0.73086,                      1,                 1.0448,               0.008812,               0.008812,               0.008812
                      5,                0.80126,                0.74525,                      1,                  1.025,               0.008416,               0.008416,               0.008416
                      6,                0.75236,                0.75467,                      1,                 1.0111,                0.00802,                0.00802,                0.00802
                      7,                0.71745,                0.76344,                      1,                0.99876,               0.007624,               0.007624,               0.007624
                      8,                0.68705,                0.76775,                      1,                0.99156,               0.007228,               0.007228,               0.007228
                      9,                0.65517,                0.77286,                      1,                 0.9865,               0.006832,               0.006832,               0.006832
                     10,                0.62899,                0.77644,                      1,                0.98217,               0.006436,               0.006436,               0.006436
                     11,                0.60786,                 0.7798,                      1,                0.97897,                0.00604,                0.00604,                0.00604
                     12,                0.58572,                0.78272,                      1,                0.97584,               0.005644,               0.005644,               0.005644
                     13,                0.56803,                0.78382,                      1,                0.97329,               0.005248,               0.005248,               0.005248
                     14,                0.54708,                0.78542,                      1,                0.97081,               0.004852,               0.004852,               0.004852
                     15,                0.52471,                0.78893,                      1,                0.96798,               0.004456,               0.004456,               0.004456
                     16,                 0.5012,                0.79236,                      1,                0.96485,                0.00406,                0.00406,                0.00406
                     17,                0.48529,                0.79484,                      1,                0.96207,               0.003664,               0.003664,               0.003664
                     18,                0.46156,                0.79835,                      1,                0.95915,               0.003268,               0.003268,               0.003268
                     19,                 0.4401,                0.80039,                      1,                0.95661,               0.002872,               0.002872,               0.002872
                     20,                0.42036,                0.80361,                      1,                0.95384,               0.002476,               0.002476,               0.002476
                     21,                0.39609,                0.80697,                      1,                0.95115,                0.00208,                0.00208,                0.00208
                     22,                0.37392,                0.80952,                      1,                0.94835,               0.001684,               0.001684,               0.001684
                     23,                0.34794,                0.81113,                      1,                0.94572,               0.001288,               0.001288,               0.001288
                     24,                0.33008,                0.81405,                      1,                0.94301,               0.000892,               0.000892,               0.000892
                     25,                 0.3063,                0.81668,                      1,                0.94034,               0.000496,               0.000496,               0.000496
